"NOMBRE DEL ATM";"CAMBIOS BASE";"SITE DIEBOLD";"COD DEL CAJERO";"DIRECCION DEL ATM";"TERRITORIAL";"ZONA";"CAJEROS VIP";"CIUDAD";"Código Municipal DANE";"Nombre del  Departamento";"CODIGO DE LA OFICINA";"NOMBRE DE   LA OFICINA";"DIRECCION DE LA OFICINA";"TELEFONO DE LA OFICINA";"PROVEEDOR DE MONITOREO";"MARCA";"MODELO";"TIPO DE PROCESADOR DIEBOLD";"SERIAL  Wincor   Diebold ";"CODIGO DE ACTIVO FIJO";"CARGA";"NIVEL DE PROVISION";"UBICACIÓN ESPECIFICA";"SITE TOPPER";"SEGMENTO";"TIPO DE UBICACIÓN";"TRANSACCIONALIDAD L V";"TRANSACCIONALIDAD FINES DE SEMANA";"PROTECTOR DE TECLADO";"FECHA DE MAQUINA";"FECHA DE ENTRADA EN PRODUCCION EN EL PUNTO";"AÑOS DE LOS CAJEROS";"FECHA DE ENTREGA DE MAQUINA A PUNTO";"TIPO DE ENLACE";"MEDIO PRINCIPAL";"MEDIO DE CONTINGENCIA";"IP";"Gateway";"MASCARA DE RED";"MODULO TELDAT";"PROVEEDOR COMUNICACIONES";"PU";"IDNUM";"DEPOSITARIOS ACTIVOS EFECTIVO";"DEPOSITARIOS ACTIVOS CHEQUE";"TRANSPORTADORA";"CLASIFICACION TDV";"FONDO DE EFECTIVO";"RUTA NOCTURNA";"PRIMER NIVEL";"SEGUNDO NIVEL";"Días de Aseo COLVAPOR";"Fecha Cargue RKL 1";"CUPO DEPOSITARIO";"Nro  Gavetas";"TIPO DE BILLETE";"CUPO AUTORIZADO";"GAVETA 1";"GAVETA 2";"GAVETA 3";"GAVETA 4";"GAVETA 5";"BILLETES DE 50 000   20 000";"BILLETES DE 50 000   20 000   10 000";"ANTISKIMING";"CONFIGURACION ATM";"DIAS DE SERVICIO";"HORARIO DE APERTURA";"HORARIO  DE CIERRE";"HORARIO DE SERVICIO";"METODO CIERRE CONSOLA";"LLAVES";"LLAVE DE SEGURIDAD";"LLAVES SITE 1";"LLAVES SITE 2";"MARCA UPS";"CAPACIDAD UPS";"Medio";"MONITOREO DE ALARMAS";"Proveedor de Vigilancia";"APOYO AL NEGOCIO";"CELULAR";"GERENTE PROMOTOR TRANSACCIONAL";"CONTACTO EN EL PUNTO";"NOMBRE";"TELEFONO";"DIRECCION O CORREO";"GERENTE";"CORREO";"CEL";"SUBGERENTE";"CORREO2";"CEL__1";"CORREO OFICINA";"PAGO DE NOMINAS";"INGRESO TDV";"INGRESO PROVEEDORES";"ANTELACIÓN PARA TRAMITAR PERMISOS";"OBSERVACIONES PARA TRAMITES DE PERMISOS";"ENVIO DATOS DE PROOVEDORES";"FECHA DEL ULTIMO ENVIO";"INGRESO PROVEEDORES DIAS";"INGRESO PROVEEDORES HORAS";"ENVIO DE CORREO";"ANTELACION PARA TRAMITAR PERMISOS";"MULTIVENDOR";"zipcode";"lat";"lon";"total_otros_ATMs"
"Carrera 43 (2)";NA;"116";386;"CRA 43 NO 76-85";"NORTE";"Barranquilla";"N/A";"BARRANQUILLA";"08 - 001";"Atlántico";484;"CARRERA 43";"CRA 43 NO 76-85";"3489163";"DIEBOLD";"WINCOR";"WINCORD 2100 / 6812";"N/A";"5300125141";"1,30E+11";"POSTERIOR";"NIVEL 7";"Oficina";"PENDIENTE";"OFICINA NIVEL 7";"EO";"MEDIA";"MEDIA";"SI";"23/09/2005";"23/09/2005";14;"N/A";"COMPARTIDO";"FIBRA";"COBRE";"81.128.77.163";"81.128.77.161";"255.255.255.240";"NO APLICA";"TELEFONICA";"DG2";"4845";"N/A";"N/A";"PROSEGUR";"URBANO";"BARRANQUILLA";"SI";"WINCOR";"WINCOR";"SAB-DOM-FES";"40948";"N/A";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"SIN INSTALAR";"WIN7";"L - D";"0.25";"0.91666666666666663";"16 HORAS (6:00 AM - 10:00 PM)";"HONOR";"WINCOR - TRANSPORTADORA";"N/A";NA;NA;"APEL";"4KVA";"ETH";"CGA";"SECURITAS";"luisfelipe.hernandez@bbva.com";3187072331;"KEIBEL PEREZ ARDILA";"OFICINA";"0";"0";"0";"GUSTAVO ANTONIO RODRIGUEZ";"gustavoanton.rodriguez@bbva.com";"3164826161";"DAMIT GARCIA";"damit.garcia@bbva.com";"3155783747";"CRA43484.co@bbva.com";NA;"SIN RESTRICCION";"SIN RESTRICCION";"N/A";"N/A";"INTRANET";"N/A";"Dom - Dom";"06:00 - 23:00";"NO";"SIN ANTELACION";"N/A";"80020";10,9944496;-74,8123156;5
"Carrera 43 1";NA;"116";170;"CRA 43 NO 76-85";"NORTE";"Barranquilla";"N/A";"BARRANQUILLA";"08 - 001";"Atlántico";484;"CARRERA 43";"CRA 43 NO 76-85";"3489163";"DIEBOLD";"WINCOR";"WINCORD 2100 / 6812";"N/A";"5300125122";"1,30E+11";"POSTERIOR";"NIVEL 7";"Oficina";"PENDIENTE";"OFICINA NIVEL 7";"EO";"MEDIA";"ALTA";"SI";"23/09/2005";"23/09/2005";14;"N/A";"COMPARTIDO";"FIBRA";"FIBRA";"81.128.77.162";"81.128.77.161";"255.255.255.240";"NO APLICA";"TELEFONICA";"DG1";"4841";"N/A";"N/A";"PROSEGUR";"URBANO";"BARRANQUILLA";"SI";"WINCOR";"WINCOR";"SAB-DOM-FES";"40948";"N/A";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"SIN INSTALAR";"WIN7";"L - D";"0.25";"0.91666666666666663";"16 HORAS (6:00 AM - 10:00 PM)";"HONOR";"WINCOR - TRANSPORTADORA";"N/A";NA;NA;"APEL";"4KVA";"ETH";"CGA";"SECURITAS";"luisfelipe.hernandez@bbva.com";3187072331;"KEIBEL PEREZ ARDILA";"OFICINA";"0";"0";"0";"GUSTAVO ANTONIO RODRIGUEZ";"gustavoanton.rodriguez@bbva.com";"3164826161";"DAMIT GARCIA";"damit.garcia@bbva.com";"3155783747";"CRA43484.co@bbva.com";NA;"SIN RESTRICCION";"SIN RESTRICCION";"N/A";"N/A";"INTRANET";"N/A";"Dom - Dom";"06:00 - 23:00";"NO";"SIN ANTELACION";"N/A";"80020";10,9944496;-74,8123156;5
"Carrera 80 (2)";NA;"117";248;"CALL 37 80B-09";"OCCIDENTE";"Medellin Sur";"N/A";"MEDELLÍN";"05 - 001";"Antioquia";68;"CARRERA 80";"CALLE 37, No 80B-09";"4138844-4132152";"DIEBOLD";"DIEBOLD";"INTREPID 5550";"VoyagerHP";"5550CGR00058";"PENDIENTE";"POSTERIOR";"NIVEL 7";"Oficina";"SITE";"OFICINA NIVEL 7";"EO";"BAJA";"MEDIA";"SI";"08/02/2018";"13/03/2018";1;"43168";"COMPARTIDO";"FIBRA";"COBRE";"81.128.41.227";"81.128.41.225";"255.255.255.240";"NO APLICA";"TELEFONICA";"1W2";"682";"N/A";"N/A";"PROSEGUR";"URBANO";"MEDELLIN";"NO";"DIEBOLD";"DIEBOLD";"SAB-DOM-FES";"43171";"N/A";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"INSTALADO";"DMV1";"L - D";"N/A";"N/A";"16 HORAS (6:00 AM - 10:00 PM)";"N/A";"DIEBOLD - TRANSPORTADORA";"N/A";NA;NA;NA;NA;"ETH";"CGA";"SECURITAS";"yaneth.rueda@bbva.com";3182899405;"0";"OFICINA";"0";"0";"0";"JAVIER IGNACIO GOMEZ RESTREPO";"JAVIERIGNACI.GOMEZ@BBVA.COM";"3176472776";"DORA PATRICIA GRANADA VANEGAS";"dora.granada@bbva.com";"3165264002";"CRA80068.co@bbva.com";NA;"SIN RESTRICCION";"SIN RESTRICCION";"N/A";"N/A";"INTRANET";"N/A";"Dom - Dom";"06:00 - 23:00";"NO";"SIN ANTELACION";"Activo";"50031";6,2450475;-75,601349;10
"Carrera 80 1";NA;"117";264;"CALLE 37 80B-09";"OCCIDENTE";"Medellin Sur";"N/A";"MEDELLÍN";"05 - 001";"Antioquia";68;"CARRERA 80";"CALLE 37, No 80B-09";"4138844-4132152";"DIEBOLD";"DIEBOLD";"INTREPID 5550";"VoyagerHP";"5550CGR00089";"PENDIENTE";"POSTERIOR";"NIVEL 7";"Oficina";"SITE";"OFICINA NIVEL 7";"EO";"MEDIA";"ALTA";"SI";"08/02/2018";"13/03/2018";1;"43168";"COMPARTIDO";"FIBRA";"COBRE";"81.128.41.226";"81.128.41.225";"255.255.255.240";"NO APLICA";"TELEFONICA";"1W1";"681";"N/A";"N/A";"PROSEGUR";"URBANO";"MEDELLIN";"NO";"DIEBOLD";"DIEBOLD";"SAB-DOM-FES";"43171";"N/A";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"INSTALADO";"DMV1";"L - D";"N/A";"N/A";"16 HORAS (6:00 AM - 10:00 PM)";"N/A";"DIEBOLD - TRANSPORTADORA";"N/A";NA;NA;NA;NA;"ETH";"CGA";"SECURITAS";"yaneth.rueda@bbva.com";3182899405;"0";"OFICINA";"0";"0";"0";"JAVIER IGNACIO GOMEZ RESTREPO";"JAVIERIGNACI.GOMEZ@BBVA.COM";"3176472776";"DORA PATRICIA GRANADA VANEGAS";"dora.granada@bbva.com";"3165264002";"CRA80068.co@bbva.com";NA;"SIN RESTRICCION";"SIN RESTRICCION";"N/A";"N/A";"INTRANET";"N/A";"Dom - Dom";"06:00 - 23:00";"NO";"SIN ANTELACION";"Activo";"50031";6,2450475;-75,601349;10
"Carrera Once";NA;"118";284;"CRA 10 9-97 L1-263";"BOGOTÁ";"Bogota Sur";"N/A";"BOGOTÁ D.C.";"11 - 001";"Bogotá, D.C.";134;"CARRERA ONCE";"Carrera  10 No 9-97  L 1-263";"3520912-3521003-3521004-3521017 FAX 3521039";"DIEBOLD";"DIEBOLD";"INTREPID 5550";"VoyagerHP";"5550CGR00040";"PENDIENTE";"POSTERIOR";"NIVEL 7";"Oficina";"PENDIENTE";"OFICINA NIVEL 7";"EO";"MEDIA";"ALTA";"SI";"08/02/2018";"04/05/2018";1;"43222";"COMPARTIDO";"FIBRA";"COBRE";"81.128.58.98";"81.128.58.97";"255.255.255.240";"NO APLICA";"TELEFONICA";"3Q1";"1341";"N/A";"N/A";"PROSEGUR";"URBANO";"BOGOTA";"SI";"DIEBOLD";"DIEBOLD";"SAB-DOM-FES";"43224";"N/A";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"INSTALADO";"DMV1";"L - D";"N/A";"N/A";"24 HORAS";"N/A";"DIEBOLD - TRANSPORTADORA";"LAMINA";NA;NA;"TRIPP LITE";"5 KVA";"ETH";"CGA";"SECURITAS";"ramiro.quijano@bbva.com";3182893993;"RICARDO BOTERO CARRILLO (Bogotá Norte)
LEONOR MIRELLA HERNANDEZ NIÑO (Bogotá Sur)";"OFICINA";"0";"0";"0";"Alexander Chavez Alfaro";"elberto.chaves@bbva.com";"3173834963";"José Gelmo Alvarez Barrera";"josegelmo.alvarez@bbva.com";"3157635770";"CRA11134.co@bbva.com";NA;"SIN RESTRICCION";"SIN RESTRICCION";"N/A";"N/A";"INTRANET";"N/A";"Dom - Dom";"06:00 - 23:00";"NO";"SIN ANTELACION";"Activo";"110321";4,5991911;-74,0809166;12
"Carrera Segunda";NA;"120";870;"CR 2 31A - 49";"NORTE";"Caribe Medio";"N/A";"MONTERÍA";"23 - 001";"Córdoba";482;"Ronda Del Sinú";"CRA 2  No. 39 - 61";"7820256";"DIEBOLD";"DIEBOLD";"INTREPID 5550";"VoyagerHP";"5550CH100001";"1,30E+11";"POSTERIOR";"NIVEL 7";"Oficina";"PENDIENTE";"24 HORAS";"EO";"MEDIA";"ALTA";"SI";"30/09/2016";"12/08/2017";2;"42956";"COMPARTIDO";"COBRE";"COBRE";"81.128.77.98";"81.128.77.97";"255.255.255.240";"NO APLICA";"TELEFONICA";"DE1";"4820";"N/A";"N/A";"PROSEGUR";"URBANO";"MONTERIA";"NO";"DIEBOLD";"DIEBOLD";"SAB-DOM-FES";"42958";"N/A";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"INSTALADO";"DMV1";"L - D";"N/A";"N/A";"24 HORAS";"N/A";"DIEBOLD - TRANSPORTADORA";"MEDECO";NA;NA;"APEL";"4KVA";"ETH";"CGA";"SECURITAS";"luisfelipe.hernandez@bbva.com";3187072331;"KEIBEL PEREZ ARDILA";"OFICINA";"0";"0";"0";"LUCY RIVAS TORDECILLA";"lucy.rivas@bbva.com";"3174351881";"EDUARDO SANTOS VELEZ";"eduardo.santos@bbva.com";"3215399568";"CSCSEG482.co@bbva.com";NA;"SIN RESTRICCION";"SIN RESTRICCION";"N/A";"N/A";"INTRANET";"N/A";"Dom - Dom";"06:00 - 23:00";"NO";"SIN ANTELACION";"Activo";NA;8,7620354;-75,8897562;3
"Cartagena 1";NA;"121";62;"CLL 32 4-65";"NORTE";"Caribe Medio";"N/A";"CARTAGENA";"13 - 001";"Bolívar";253;"CARTAGENA";"CALLE 32 No. 4-65";"6701130";"DIEBOLD";"DIEBOLD";"INTREPID 5550";"VoyagerHP";"5550CGR00184";"PENDIENTE";"POSTERIOR";"NIVEL 7";"Oficina";"PENDIENTE";"OFICINA NIVEL 7";"EO";"MEDIA";"MEDIA";"SI";"07/09/2018";"19/10/2018";0;"43389";"COMPARTIDO";"FIBRA";"COBRE";"81.128.64.2";"81.128.64.1";"255.255.255.240";"NO APLICA";"TELEFONICA";"711";"2531";"N/A";"N/A";"PROSEGUR";"URBANO";"CARTAGENA";"SI";"DIEBOLD";"DIEBOLD";"SAB-DOM-FES";"43391";"N/A";4;"MIXTO";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"INSTALADO";"DIE2";"L - D";"N/A";"N/A";"24 HORAS";"N/A";"DIEBOLD - TRANSPORTADORA";"LAMINA";NA;NA;"POWERWARE";"6 KVA";"ETH";"CGA";"SECURITAS";"luisfelipe.hernandez@bbva.com";3187072331;"KEIBEL PEREZ ARDILA";"OFICINA";"0";"0";"0";"LINA DUNEY MACHETE";"lina.machete@bbva.com";"3158405427";"LILA ROSA BUSTILLO SANCHEZ";"lila.bustillo@bbva.com";"3164821757";"CARTA253.co@bbva.com";NA;"SIN RESTRICCION";"SIN RESTRICCION";"N/A";"N/A";"INTRANET";"N/A";"Dom - Dom";"06:00 - 23:00";"NO";"SIN ANTELACION";"N/A";"130001";10,4224888;-75,5503278;19
"Cartagena 2";NA;"121";356;"CALLE 32 4-65";"NORTE";"Caribe Medio";"N/A";"CARTAGENA";"13 - 001";"Bolívar";253;"CARTAGENA";"CALLE 32 No. 4-65";"6701130";"DIEBOLD";"DIEBOLD";"INTREPID 5550";"VoyagerHP";"5550CGR00185";"PENDIENTE";"POSTERIOR";"NIVEL 7";"Oficina";"PENDIENTE";"OFICINA NIVEL 7";"EO";"MEDIA";"MEDIA";"SI";"07/09/2018";"19/10/2018";0;"43389";"COMPARTIDO";"COBRE";"COBRE";"81.128.64.3";"81.128.64.1";"255.255.255.240";"NO APLICA";"TELEFONICA";"712";"2532";"N/A";"N/A";"PROSEGUR";"URBANO";"CARTAGENA";"SI";"DIEBOLD";"DIEBOLD";"SAB-DOM-FES";"43391";"N/A";4;"MIXTO";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"INSTALADO";"DIE2";"L - D";"N/A";"N/A";"24 HORAS";"N/A";"DIEBOLD - TRANSPORTADORA";"N/A";NA;NA;"POWERWARE";"6 KVA";"ETH";"CGA";"SECURITAS";"luisfelipe.hernandez@bbva.com";3187072331;"KEIBEL PEREZ ARDILA";"OFICINA";"0";"0";"0";"LINA DUNEY MACHETE";"lina.machete@bbva.com";"3158405427";"LILA ROSA BUSTILLO SANCHEZ";"lila.bustillo@bbva.com";"3164821757";"CARTA253.co@bbva.com";NA;"SIN RESTRICCION";"SIN RESTRICCION";"N/A";"N/A";"INTRANET";"N/A";"Dom - Dom";"06:00 - 23:00";"NO";"SIN ANTELACION";"N/A";"130001";10,4224888;-75,5503278;19
"Cartago";NA;"123";741;"Calle 12 # 3 - 66 Int 124";"OCCIDENTE";"Eje Cafetero";"N/A";"CARTAGO";"76 - 147";"Valle del Cauca";259;"CARTAGO";"Calle 12 # 3-66";"2110243-2110241-2110240";"DIEBOLD";"DIEBOLD";"INTREPID 5550";"VoyagerHP";"5550WH100048";"1,30E+11";"POSTERIOR";"NIVEL 7";"Oficina";"PENDIENTE";"OFICINA NIVEL 7";"EO";"MEDIA";"ALTA";"SI";"30/09/2016";"30/05/2017";2;"42881";"COMPARTIDO";"FIBRA";"FIBRA";"81.128.65.164";"81.128.65.161";"255.255.255.240";"NO APLICA";"TELEFONICA";"CP1";"4571";"N/A";"N/A";"PROSEGUR";"INTERURBANO";"PEREIRA";"NO";"DIEBOLD";"DIEBOLD";"Dom-Fest";"42885";"N/A";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"INSTALADO";"DMV1";"L - D";"N/A";"N/A";"24 HORAS";"N/A";"DIEBOLD - TRANSPORTADORA";"MEDECO";NA;NA;"MGE";"1.5 KVA";"ETH";"CGA";"SECURITAS";"yaneth.rueda@bbva.com";3182899405;"0";"OFICINA";"0";"0";"0";"CLAUDIA PATRICIA RAMIREZ BOTERO";"claudiapatricia.ramirezbotero@bbva.com";"316 4804362";"MERARI LOPEZ SANCHEZ";"merari.lopez@bbva.com";"316 3885137";"CARTA259.co@bbva.com";NA;"SOLICITUD DE UN DIA PARA OTRO";"SIN RESTRICCION";"N/A";"N/A";"INTRANET";"N/A";"Dom - Dom";"06:00 - 23:00";"NO";"SIN ANTELACION";"Activo";NA;4,7506866;-75,9137164;17
"Cartago 1";NA;"124";32;"Calle 12 # 3 - 66 Int 124";"OCCIDENTE";"Eje Cafetero";"N/A";"CARTAGO";"76 - 147";"Valle del Cauca";259;"CARTAGO";"Calle 12 # 3-66";"2110243-2110241-2110240";"DIEBOLD";"DIEBOLD";"INTREPID 5550";"VoyagerHP";"5550WH100047";"1,30E+11";"POSTERIOR";"NIVEL 7";"Oficina";"PENDIENTE";"OFICINA NIVEL 7";"EO";"MEDIA";"ALTA";"SI";"30/09/2016";"30/05/2017";2;"42881";"COMPARTIDO";"FIBRA";"FIBRA";"81.128.65.162";"81.128.65.161";"255.255.255.240";"NO APLICA";"TELEFONICA";"771";"2591";"N/A";"N/A";"PROSEGUR";"INTERURBANO";"PEREIRA";"NO";"DIEBOLD";"DIEBOLD";"Dom-Fest";"42885";"N/A";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"INSTALADO";"DMV1";"L - D";"N/A";"N/A";"24 HORAS";"N/A";"DIEBOLD - TRANSPORTADORA";"MEDECO";NA;NA;"MGE";"1.5 KVA";"ETH";"CGA";"SECURITAS";"yaneth.rueda@bbva.com";3182899405;"0";"OFICINA";"0";"0";"0";"CLAUDIA PATRICIA RAMIREZ BOTERO";"claudiapatricia.ramirezbotero@bbva.com";"316 4804362";"MERARI LOPEZ SANCHEZ";"merari.lopez@bbva.com";"316 3885137";"CARTA259.co@bbva.com";NA;"SOLICITUD DE UN DIA PARA OTRO";"SIN RESTRICCION";"N/A";"N/A";"INTRANET";"N/A";"Dom - Dom";"06:00 - 23:00";"NO";"SIN ANTELACION";"Activo";NA;4,7506866;-75,9137164;17
"Cartago 2";NA;"124";365;"Calle 12 # 3 - 66 Int 124";"OCCIDENTE";"Eje Cafetero";"N/A";"CARTAGO";"76 - 147";"Valle del Cauca";259;"CARTAGO";"Calle 12 # 3-66";"2110243-2110241-2110240";"DIEBOLD";"DIEBOLD";"INTREPID 5550";"VoyagerHP";"5550WH100049";"1,30E+11";"POSTERIOR";"NIVEL 7";"Oficina";"PENDIENTE";"OFICINA NIVEL 7";"EO";"MEDIA";"ALTA";"SI";"30/09/2016";"30/05/2017";2;"42881";"COMPARTIDO";"FIBRA";"FIBRA";"81.128.65.163";"81.128.65.161";"255.255.255.240";"NO APLICA";"TELEFONICA";"772";"2592";"N/A";"N/A";"PROSEGUR";"INTERURBANO";"PEREIRA";"NO";"DIEBOLD";"DIEBOLD";"Dom-Fest";"42885";"N/A";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"INSTALADO";"DMV1";"L - D";"N/A";"N/A";"24 HORAS";"N/A";"DIEBOLD - TRANSPORTADORA";"MEDECO";NA;NA;"MGE";"1.5 KVA";"ETH";"CGA";"SECURITAS";"yaneth.rueda@bbva.com";3182899405;"0";"OFICINA";"0";"0";"0";"CLAUDIA PATRICIA RAMIREZ BOTERO";"claudiapatricia.ramirezbotero@bbva.com";"316 4804362";"MERARI LOPEZ SANCHEZ";"merari.lopez@bbva.com";"316 3885137";"CARTA259.co@bbva.com";NA;"SOLICITUD DE UN DIA PARA OTRO";"SIN RESTRICCION";"N/A";"N/A";"INTRANET";"N/A";"Dom - Dom";"06:00 - 23:00";"NO";"SIN ANTELACION";"Activo";NA;4,7506866;-75,9137164;17
"Carulla Alhambra (2546)";NA;"985";1117;"CLL 114 33-20";"BOGOTÁ";"Bogotá Norte";"N/A";"BOGOTÁ D.C.";"11 - 001";"Bogotá, D.C.";400;"HACIENDA SANTA BARBARA";"Calle 114 No. 6A-92 L242-D";"6203752-05-36";"DIEBOLD";"DIEBOLD";"OPTEVA 522";"Canyon";"1522FDC17234";"1,30E+11";"FRONTAL";"NIVEL 7";"Supermercado";"PENDIENTE";"CENTRO COMERCIAL";"SAT";"MEDIA";"ALTA";"SI";"05/07/2011";"13/07/2011";8;"N/A";"INDEPENDIENTE";"FIBRA";"COBRE";"81.128.139.66";"81.128.139.65";"255.255.255.240";"NO APLICA";"LEVEL3";"B48";"4008";"N/A";"N/A";"PROSEGUR";"URBANO";"BOGOTA";"NO";"DIEBOLD";"DIEBOLD";"LUNES  A DOMINGO";"40932";"N/A";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"INSTALADO";"DMV1";"L - D";"N/A";"N/A";"14 HORAS (8:00 AM - 10:00 PM)";"N/A";"DIEBOLD - TRANSPORTADORA";"MEDECO";"Cargue Frontal";"N/A";NA;NA;"ETH";"CGA";"SECURITAS";"ramiro.quijano@bbva.com";3182893993;"RICARDO BOTERO CARRILLO (Bogotá Norte)
LEONOR MIRELLA HERNANDEZ NIÑO (Bogotá Sur)";"RECURSOS HUMANOS";NA;"(1)6605200 Ext 4441";" IngresoExternos.Servicios@grupo-exito.com-Gerente.CarullaAlhambra@grupo-exito.com";"ANDREA CATALINA DE PLAZA FORERO";"andrea.deplaza@bbva.com";"3166922766";"MANUEL ARTURO MONTENEGRO OSORIO";"manuel.montenegro@bbva.com";"3174389952";"HSTAB400.co@bbva.com";NA;"SIN RESTRICCION";"SIN RESTRICCION";"24 HORAS";"Para proveedores diferentes  a wicnor y Diebold un dia de anticipacion las autorizaciones deben ser enviadas antes de las 03:00 p.m. después de este horario queda sujeto a confirmación por parte del punto.";"CARPETA DIGITALIZADA";"43354";"Dom - Dom";"06:00 - 23:00";"NO";"24 HORAS";"Activo";"110111";4,6908766;-74,0297442;13
"Carulla Express Manga (2533)";NA;"125";780;"AV MIRAMAR   24 A- 117";"NORTE";"Caribe Medio";"N/A";"CARTAGENA";"13 - 001";"Bolívar";514;"PARQUE CENTENARIO";"CENTRO AVENIDA DANIEL LEMAITRE No. 8A-65";"6644938";"DIEBOLD";"WINCOR";"WINCORD 2100 / 6812";"N/A";"5300190397";"1,30E+11";"POSTERIOR";"NIVEL 7";"Centro Comercial";"PENDIENTE";"CENTRO COMERCIAL";"SAT";"BAJA";"ALTA";"SI";"28/10/2006";"28/10/2006";12;"N/A";"INDEPENDIENTE";"COBRE";"3G";"81.128.23.130";"81.128.23.129";"255.255.255.240";"SI APLICA";"TELEFONICA";"EA4";"5144";"N/A";"N/A";"PROSEGUR";"URBANO";"CARTAGENA";"SI";"WINCOR";"WINCOR";"LUNES  A DOMINGO";"40953";"N/A";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"SIN INSTALAR";"WIN7";"L - D";"N/A";"N/A";"14 HORAS (8:00 AM - 10:00 PM)";"N/A";"WINCOR - TRANSPORTADORA";"LAMINA";NA;NA;"POWERTRON";"3 KVA";"ETH";"CGA";"SECURITAS";"luisfelipe.hernandez@bbva.com";3187072331;"KEIBEL PEREZ ARDILA";"RECURSOS HUMANOS";"Leonardo Suarez Sanjuan";"(5) 361 51 47";"Leonardo.Suarez@Grupo-Exito.com-DanaGabriela.MendezLarios@grupo-exito.com";"ROBERT ALEXANDER RUIZ";"robert.ruiz@bbva.com";"3174427663";"EDNA MARTINEZ BOLAÑO";"EDNA.MARTINEZ@BBVA.COM";"3165211321";"PCENT514.co@bbva.com";NA;"SIN RESTRICCION";"SIN RESTRICCION";"24 HORAS";"Para proveedores diferentes  a wincor y Diebold un dia de anticipacion las autorizaciones deben ser enviadas antes de las 03:00 p.m. después de este horario queda sujeto a confirmación por parte del punto.";"CARPETA DIGITALIZADA";"43354";"Dom - Dom";"06:00 - 23:00";"NO";"24 HORAS";"N/A";NA;10,3910485;-75,4794257;17
"Carulla Pance Cali (2594)";NA;"1036";1173;" CALLE 18 # 121 - 451, PARCELACIÓN PANCE";"OCCIDENTE";"Pacifico Sur";"N/A";"CALI";"76 - 001";"Valle del Cauca";869;"CIUDAD JARDIN";"Avda Cañasgordas Calle 18 N 106-69 Cali";"6440017";"DIEBOLD";"DIEBOLD";"OPTEVA 522";"Canyon";"1522FDC21036";"1,30E+11";"FRONTAL";"NIVEL 7";"Supermercado";"PENDIENTE";"CENTRO COMERCIAL";"SAT";"MUY BAJA";"BAJA";"SI";"27/03/2012";"20/04/2012";7;"N/A";"INDEPENDIENTE";"FIBRA";"3G";"81.128.143.162";"81.128.143.161";"255.255.255.240";"NO APLICA";"LEVEL3";"O52";"8692";"N/A";"N/A";"PROSEGUR";"URBANO";"CALI";"NO";"DIEBOLD";"DIEBOLD";"LUNES  A DOMINGO";"41019";"N/A";5;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"INSTALADO";"DMV1";"L - D";"N/A";"N/A";"14 HORAS (8:00 AM - 10:00 PM)";"N/A";"DIEBOLD - TRANSPORTADORA";"MEDECO";"Cargue Frontal";"N/A";NA;NA;"ETH";"CGA";"SECURITAS";"yaneth.rueda@bbva.com";3182899443;"MELINA RUSI";"RECURSOS HUMANOS";"LAURA GIL LOPEZ";"(4) 339 54 17";"gerente.carullapance@grupo-exito.com-jairo.romero@grupo-exito.com-ingresoexternos.servicios@grupo-exito.com-LIDER594@GRUPO-EXITO.COM";"WILLIAM VANEGAS GASPAR";"william.vanegas@bbva.com";"3174337490";"GRICELL MONSALVE MARIN";"gricel.monsalve@bbva.com";"3174338318";"ciujar869.co@bbva.com";NA;"SOLO AM  RESTRICCION DE INGRESO HASTA LAS 06:30   ";"L-D 06:00 A 07:30";"24 HORAS";"Para proveedores diferentes  a wicnor y Diebold un dia de anticipacion las autorizaciones deben ser enviadas antes de las 03:00 p.m. después de este horario queda sujeto a confirmación por parte del punto.";"CARPETA DIGITALIZADA";"43354";"Dom - Dom";"06:00 - 07:30";"NO";"24 HORAS";"Activo";NA;3,3440787;-76,5302115;12
